target,guess_count,memory,strategy
basil,4,False,Strategy.RANDOM
eying,4,False,Strategy.RANDOM
clink,5,False,Strategy.RANDOM
twixt,4,False,Strategy.RANDOM
posse,5,False,Strategy.RANDOM
setup,5,False,Strategy.RANDOM
safer,4,False,Strategy.RANDOM
curry,3,False,Strategy.RANDOM
squib,4,False,Strategy.RANDOM
fella,4,False,Strategy.RANDOM
mecca,5,False,Strategy.RANDOM
biddy,4,False,Strategy.RANDOM
butch,4,False,Strategy.RANDOM
clamp,5,False,Strategy.RANDOM
arena,3,False,Strategy.RANDOM
owing,2,False,Strategy.RANDOM
murky,6,False,Strategy.RANDOM
churn,4,False,Strategy.RANDOM
guess,4,False,Strategy.RANDOM
refit,6,False,Strategy.RANDOM
gipsy,3,False,Strategy.RANDOM
tubal,3,False,Strategy.RANDOM
gravy,7,False,Strategy.RANDOM
venue,4,False,Strategy.RANDOM
armor,4,False,Strategy.RANDOM
amity,3,False,Strategy.RANDOM
wring,3,False,Strategy.RANDOM
sheep,4,False,Strategy.RANDOM
vowel,4,False,Strategy.RANDOM
pence,4,False,Strategy.RANDOM
loamy,4,False,Strategy.RANDOM
brick,4,False,Strategy.RANDOM
embed,5,False,Strategy.RANDOM
guise,3,False,Strategy.RANDOM
bylaw,6,False,Strategy.RANDOM
plier,3,False,Strategy.RANDOM
wight,2,False,Strategy.RANDOM
anime,4,False,Strategy.RANDOM
demur,3,False,Strategy.RANDOM
dilly,6,False,Strategy.RANDOM
stoop,4,False,Strategy.RANDOM
slash,7,False,Strategy.RANDOM
diode,3,False,Strategy.RANDOM
fleck,5,False,Strategy.RANDOM
scaly,3,False,Strategy.RANDOM
steal,4,False,Strategy.RANDOM
glint,3,False,Strategy.RANDOM
pansy,3,False,Strategy.RANDOM
budge,5,False,Strategy.RANDOM
bitty,5,False,Strategy.RANDOM
sauce,4,False,Strategy.RANDOM
joist,5,False,Strategy.RANDOM
nobly,4,False,Strategy.RANDOM
plead,5,False,Strategy.RANDOM
risky,5,False,Strategy.RANDOM
crier,4,False,Strategy.RANDOM
randy,5,False,Strategy.RANDOM
tumor,4,False,Strategy.RANDOM
shrew,5,False,Strategy.RANDOM
wider,5,False,Strategy.RANDOM
notch,4,False,Strategy.RANDOM
dizzy,6,False,Strategy.RANDOM
attic,5,False,Strategy.RANDOM
unset,5,False,Strategy.RANDOM
motif,4,False,Strategy.RANDOM
testy,4,False,Strategy.RANDOM
wispy,4,False,Strategy.RANDOM
fugue,4,False,Strategy.RANDOM
caste,3,False,Strategy.RANDOM
steer,3,False,Strategy.RANDOM
crony,4,False,Strategy.RANDOM
fraud,5,False,Strategy.RANDOM
arson,5,False,Strategy.RANDOM
minor,5,False,Strategy.RANDOM
swarm,4,False,Strategy.RANDOM
pulse,4,False,Strategy.RANDOM
rotor,5,False,Strategy.RANDOM
wiser,5,False,Strategy.RANDOM
welch,3,False,Strategy.RANDOM
honor,3,False,Strategy.RANDOM
bigot,4,False,Strategy.RANDOM
dusky,6,False,Strategy.RANDOM
deign,4,False,Strategy.RANDOM
tonal,7,False,Strategy.RANDOM
salvo,3,False,Strategy.RANDOM
annul,3,False,Strategy.RANDOM
tried,5,False,Strategy.RANDOM
eater,4,False,Strategy.RANDOM
abode,5,False,Strategy.RANDOM
snide,5,False,Strategy.RANDOM
enemy,4,False,Strategy.RANDOM
eking,4,False,Strategy.RANDOM
radii,4,False,Strategy.RANDOM
stoke,4,False,Strategy.RANDOM
scary,3,False,Strategy.RANDOM
swing,4,False,Strategy.RANDOM
bloom,4,False,Strategy.RANDOM
swamp,4,False,Strategy.RANDOM
abbot,5,False,Strategy.RANDOM
shark,5,False,Strategy.RANDOM
dryly,6,False,Strategy.RANDOM
clump,3,False,Strategy.RANDOM
betel,4,False,Strategy.RANDOM
penal,5,False,Strategy.RANDOM
chump,4,False,Strategy.RANDOM
shiny,4,False,Strategy.RANDOM
curvy,5,False,Strategy.RANDOM
blast,4,False,Strategy.RANDOM
grill,6,False,Strategy.RANDOM
paler,2,False,Strategy.RANDOM
spilt,4,False,Strategy.RANDOM
pizza,4,False,Strategy.RANDOM
scalp,3,False,Strategy.RANDOM
broil,4,False,Strategy.RANDOM
queer,4,False,Strategy.RANDOM
tying,3,False,Strategy.RANDOM
roger,3,False,Strategy.RANDOM
fizzy,5,False,Strategy.RANDOM
swept,4,False,Strategy.RANDOM
cacti,5,False,Strategy.RANDOM
scene,4,False,Strategy.RANDOM
afoot,4,False,Strategy.RANDOM
silky,4,False,Strategy.RANDOM
sappy,3,False,Strategy.RANDOM
array,5,False,Strategy.RANDOM
rearm,2,False,Strategy.RANDOM
iliac,4,False,Strategy.RANDOM
basis,5,False,Strategy.RANDOM
fetal,5,False,Strategy.RANDOM
eerie,4,False,Strategy.RANDOM
vapor,4,False,Strategy.RANDOM
eclat,3,False,Strategy.RANDOM
waist,3,False,Strategy.RANDOM
kneed,4,False,Strategy.RANDOM
jetty,5,False,Strategy.RANDOM
fussy,4,False,Strategy.RANDOM
guilt,3,False,Strategy.RANDOM
recut,3,False,Strategy.RANDOM
elect,5,False,Strategy.RANDOM
noose,4,False,Strategy.RANDOM
rural,4,False,Strategy.RANDOM
pudgy,4,False,Strategy.RANDOM
deuce,3,False,Strategy.RANDOM
spurn,3,False,Strategy.RANDOM
husky,3,False,Strategy.RANDOM
bison,4,False,Strategy.RANDOM
cruel,3,False,Strategy.RANDOM
nutty,2,False,Strategy.RANDOM
slunk,3,False,Strategy.RANDOM
mangy,4,False,Strategy.RANDOM
torus,5,False,Strategy.RANDOM
lymph,3,False,Strategy.RANDOM
shoot,4,False,Strategy.RANDOM
liege,3,False,Strategy.RANDOM
fleet,4,False,Strategy.RANDOM
swoop,4,False,Strategy.RANDOM
freak,4,False,Strategy.RANDOM
outgo,5,False,Strategy.RANDOM
chuck,4,False,Strategy.RANDOM
dairy,4,False,Strategy.RANDOM
tabby,2,False,Strategy.RANDOM
allot,3,False,Strategy.RANDOM
axion,4,False,Strategy.RANDOM
viper,4,False,Strategy.RANDOM
surge,3,False,Strategy.RANDOM
bleat,3,False,Strategy.RANDOM
dunce,4,False,Strategy.RANDOM
mogul,2,False,Strategy.RANDOM
rinse,4,False,Strategy.RANDOM
scoop,4,False,Strategy.RANDOM
timid,3,False,Strategy.RANDOM
sniff,3,False,Strategy.RANDOM
daily,5,False,Strategy.RANDOM
chaff,6,False,Strategy.RANDOM
vocal,4,False,Strategy.RANDOM
among,4,False,Strategy.RANDOM
flaky,2,False,Strategy.RANDOM
slant,3,False,Strategy.RANDOM
cabal,3,False,Strategy.RANDOM
muddy,4,False,Strategy.RANDOM
cleat,5,False,Strategy.RANDOM
gloss,4,False,Strategy.RANDOM
fecal,2,False,Strategy.RANDOM
trial,3,False,Strategy.RANDOM
visit,5,False,Strategy.RANDOM
allay,4,False,Strategy.RANDOM
sepia,3,False,Strategy.RANDOM
legal,5,False,Strategy.RANDOM
purse,4,False,Strategy.RANDOM
rigor,5,False,Strategy.RANDOM
wharf,3,False,Strategy.RANDOM
swami,4,False,Strategy.RANDOM
align,4,False,Strategy.RANDOM
cubic,4,False,Strategy.RANDOM
wrack,5,False,Strategy.RANDOM
cavil,4,False,Strategy.RANDOM
fluke,4,False,Strategy.RANDOM
tweet,6,False,Strategy.RANDOM
shirt,4,False,Strategy.RANDOM
winch,6,False,Strategy.RANDOM
