target,guess_count,memory,strategy
basil,3,False,Strategy.ENTROPIC
eying,4,False,Strategy.ENTROPIC
clink,4,False,Strategy.ENTROPIC
twixt,4,False,Strategy.ENTROPIC
posse,4,False,Strategy.ENTROPIC
setup,4,False,Strategy.ENTROPIC
safer,5,False,Strategy.ENTROPIC
curry,5,False,Strategy.ENTROPIC
squib,4,False,Strategy.ENTROPIC
fella,4,False,Strategy.ENTROPIC
mecca,4,False,Strategy.ENTROPIC
biddy,5,False,Strategy.ENTROPIC
butch,3,False,Strategy.ENTROPIC
clamp,3,False,Strategy.ENTROPIC
arena,3,False,Strategy.ENTROPIC
owing,3,False,Strategy.ENTROPIC
murky,4,False,Strategy.ENTROPIC
churn,4,False,Strategy.ENTROPIC
guess,4,False,Strategy.ENTROPIC
refit,3,False,Strategy.ENTROPIC
gipsy,3,False,Strategy.ENTROPIC
tubal,3,False,Strategy.ENTROPIC
gravy,5,False,Strategy.ENTROPIC
venue,4,False,Strategy.ENTROPIC
armor,5,False,Strategy.ENTROPIC
amity,2,False,Strategy.ENTROPIC
wring,4,False,Strategy.ENTROPIC
sheep,4,False,Strategy.ENTROPIC
vowel,3,False,Strategy.ENTROPIC
pence,5,False,Strategy.ENTROPIC
loamy,3,False,Strategy.ENTROPIC
brick,3,False,Strategy.ENTROPIC
embed,4,False,Strategy.ENTROPIC
guise,3,False,Strategy.ENTROPIC
bylaw,3,False,Strategy.ENTROPIC
plier,4,False,Strategy.ENTROPIC
wight,7,False,Strategy.ENTROPIC
anime,4,False,Strategy.ENTROPIC
demur,3,False,Strategy.ENTROPIC
dilly,4,False,Strategy.ENTROPIC
stoop,4,False,Strategy.ENTROPIC
slash,4,False,Strategy.ENTROPIC
diode,5,False,Strategy.ENTROPIC
fleck,4,False,Strategy.ENTROPIC
scaly,5,False,Strategy.ENTROPIC
steal,2,False,Strategy.ENTROPIC
glint,4,False,Strategy.ENTROPIC
pansy,4,False,Strategy.ENTROPIC
budge,4,False,Strategy.ENTROPIC
bitty,4,False,Strategy.ENTROPIC
sauce,4,False,Strategy.ENTROPIC
joist,4,False,Strategy.ENTROPIC
nobly,4,False,Strategy.ENTROPIC
plead,4,False,Strategy.ENTROPIC
risky,3,False,Strategy.ENTROPIC
crier,3,False,Strategy.ENTROPIC
randy,3,False,Strategy.ENTROPIC
tumor,3,False,Strategy.ENTROPIC
shrew,4,False,Strategy.ENTROPIC
wider,6,False,Strategy.ENTROPIC
notch,4,False,Strategy.ENTROPIC
dizzy,4,False,Strategy.ENTROPIC
attic,4,False,Strategy.ENTROPIC
unset,3,False,Strategy.ENTROPIC
motif,4,False,Strategy.ENTROPIC
testy,4,False,Strategy.ENTROPIC
wispy,3,False,Strategy.ENTROPIC
fugue,4,False,Strategy.ENTROPIC
caste,4,False,Strategy.ENTROPIC
steer,4,False,Strategy.ENTROPIC
crony,3,False,Strategy.ENTROPIC
fraud,3,False,Strategy.ENTROPIC
arson,3,False,Strategy.ENTROPIC
minor,3,False,Strategy.ENTROPIC
swarm,6,False,Strategy.ENTROPIC
pulse,3,False,Strategy.ENTROPIC
rotor,5,False,Strategy.ENTROPIC
wiser,4,False,Strategy.ENTROPIC
welch,4,False,Strategy.ENTROPIC
honor,4,False,Strategy.ENTROPIC
bigot,3,False,Strategy.ENTROPIC
dusky,4,False,Strategy.ENTROPIC
deign,2,False,Strategy.ENTROPIC
tonal,3,False,Strategy.ENTROPIC
salvo,3,False,Strategy.ENTROPIC
annul,4,False,Strategy.ENTROPIC
tried,2,False,Strategy.ENTROPIC
eater,6,False,Strategy.ENTROPIC
abode,3,False,Strategy.ENTROPIC
snide,4,False,Strategy.ENTROPIC
enemy,4,False,Strategy.ENTROPIC
eking,3,False,Strategy.ENTROPIC
radii,5,False,Strategy.ENTROPIC
stoke,3,False,Strategy.ENTROPIC
scary,4,False,Strategy.ENTROPIC
swing,4,False,Strategy.ENTROPIC
bloom,5,False,Strategy.ENTROPIC
swamp,3,False,Strategy.ENTROPIC
abbot,4,False,Strategy.ENTROPIC
shark,3,False,Strategy.ENTROPIC
dryly,3,False,Strategy.ENTROPIC
clump,4,False,Strategy.ENTROPIC
betel,3,False,Strategy.ENTROPIC
penal,3,False,Strategy.ENTROPIC
chump,3,False,Strategy.ENTROPIC
shiny,3,False,Strategy.ENTROPIC
curvy,4,False,Strategy.ENTROPIC
blast,3,False,Strategy.ENTROPIC
grill,6,False,Strategy.ENTROPIC
paler,2,False,Strategy.ENTROPIC
spilt,3,False,Strategy.ENTROPIC
pizza,4,False,Strategy.ENTROPIC
scalp,4,False,Strategy.ENTROPIC
broil,3,False,Strategy.ENTROPIC
queer,6,False,Strategy.ENTROPIC
tying,3,False,Strategy.ENTROPIC
roger,6,False,Strategy.ENTROPIC
fizzy,5,False,Strategy.ENTROPIC
swept,4,False,Strategy.ENTROPIC
