target,guess_count,memory,strategy
basil,3,True,Strategy.RANDOM
eying,3,True,Strategy.RANDOM
clink,3,True,Strategy.RANDOM
twixt,5,True,Strategy.RANDOM
posse,5,True,Strategy.RANDOM
setup,3,True,Strategy.RANDOM
safer,2,True,Strategy.RANDOM
curry,2,True,Strategy.RANDOM
squib,4,True,Strategy.RANDOM
fella,3,True,Strategy.RANDOM
mecca,3,True,Strategy.RANDOM
biddy,3,True,Strategy.RANDOM
butch,4,True,Strategy.RANDOM
clamp,5,True,Strategy.RANDOM
arena,3,True,Strategy.RANDOM
owing,3,True,Strategy.RANDOM
murky,3,True,Strategy.RANDOM
churn,2,True,Strategy.RANDOM
guess,5,True,Strategy.RANDOM
refit,4,True,Strategy.RANDOM
gipsy,4,True,Strategy.RANDOM
tubal,3,True,Strategy.RANDOM
gravy,2,True,Strategy.RANDOM
venue,3,True,Strategy.RANDOM
armor,4,True,Strategy.RANDOM
amity,4,True,Strategy.RANDOM
wring,5,True,Strategy.RANDOM
sheep,4,True,Strategy.RANDOM
vowel,4,True,Strategy.RANDOM
pence,4,True,Strategy.RANDOM
loamy,3,True,Strategy.RANDOM
brick,4,True,Strategy.RANDOM
embed,4,True,Strategy.RANDOM
guise,3,True,Strategy.RANDOM
bylaw,4,True,Strategy.RANDOM
plier,5,True,Strategy.RANDOM
wight,4,True,Strategy.RANDOM
anime,2,True,Strategy.RANDOM
demur,3,True,Strategy.RANDOM
dilly,5,True,Strategy.RANDOM
stoop,4,True,Strategy.RANDOM
slash,4,True,Strategy.RANDOM
diode,3,True,Strategy.RANDOM
fleck,3,True,Strategy.RANDOM
scaly,3,True,Strategy.RANDOM
steal,3,True,Strategy.RANDOM
glint,3,True,Strategy.RANDOM
pansy,5,True,Strategy.RANDOM
budge,3,True,Strategy.RANDOM
bitty,3,True,Strategy.RANDOM
sauce,3,True,Strategy.RANDOM
joist,5,True,Strategy.RANDOM
nobly,2,True,Strategy.RANDOM
plead,2,True,Strategy.RANDOM
risky,3,True,Strategy.RANDOM
crier,3,True,Strategy.RANDOM
randy,3,True,Strategy.RANDOM
tumor,3,True,Strategy.RANDOM
shrew,3,True,Strategy.RANDOM
wider,3,True,Strategy.RANDOM
notch,3,True,Strategy.RANDOM
dizzy,5,True,Strategy.RANDOM
attic,3,True,Strategy.RANDOM
unset,4,True,Strategy.RANDOM
motif,3,True,Strategy.RANDOM
testy,4,True,Strategy.RANDOM
wispy,3,True,Strategy.RANDOM
fugue,3,True,Strategy.RANDOM
caste,4,True,Strategy.RANDOM
steer,3,True,Strategy.RANDOM
crony,5,True,Strategy.RANDOM
fraud,4,True,Strategy.RANDOM
arson,3,True,Strategy.RANDOM
minor,5,True,Strategy.RANDOM
swarm,4,True,Strategy.RANDOM
pulse,3,True,Strategy.RANDOM
rotor,2,True,Strategy.RANDOM
wiser,3,True,Strategy.RANDOM
welch,3,True,Strategy.RANDOM
honor,4,True,Strategy.RANDOM
bigot,4,True,Strategy.RANDOM
dusky,4,True,Strategy.RANDOM
deign,4,True,Strategy.RANDOM
tonal,3,True,Strategy.RANDOM
salvo,2,True,Strategy.RANDOM
annul,3,True,Strategy.RANDOM
tried,3,True,Strategy.RANDOM
eater,4,True,Strategy.RANDOM
abode,4,True,Strategy.RANDOM
snide,3,True,Strategy.RANDOM
enemy,2,True,Strategy.RANDOM
eking,4,True,Strategy.RANDOM
radii,3,True,Strategy.RANDOM
stoke,3,True,Strategy.RANDOM
scary,4,True,Strategy.RANDOM
swing,3,True,Strategy.RANDOM
bloom,4,True,Strategy.RANDOM
swamp,4,True,Strategy.RANDOM
abbot,5,True,Strategy.RANDOM
shark,5,True,Strategy.RANDOM
dryly,3,True,Strategy.RANDOM
clump,4,True,Strategy.RANDOM
betel,4,True,Strategy.RANDOM
penal,4,True,Strategy.RANDOM
chump,5,True,Strategy.RANDOM
shiny,2,True,Strategy.RANDOM
curvy,5,True,Strategy.RANDOM
blast,3,True,Strategy.RANDOM
grill,4,True,Strategy.RANDOM
paler,3,True,Strategy.RANDOM
spilt,4,True,Strategy.RANDOM
pizza,3,True,Strategy.RANDOM
scalp,4,True,Strategy.RANDOM
broil,3,True,Strategy.RANDOM
queer,4,True,Strategy.RANDOM
tying,4,True,Strategy.RANDOM
roger,3,True,Strategy.RANDOM
fizzy,3,True,Strategy.RANDOM
swept,3,True,Strategy.RANDOM
cacti,4,True,Strategy.RANDOM
scene,3,True,Strategy.RANDOM
afoot,4,True,Strategy.RANDOM
silky,2,True,Strategy.RANDOM
sappy,4,True,Strategy.RANDOM
array,3,True,Strategy.RANDOM
rearm,2,True,Strategy.RANDOM
iliac,3,True,Strategy.RANDOM
basis,4,True,Strategy.RANDOM
fetal,4,True,Strategy.RANDOM
eerie,2,True,Strategy.RANDOM
vapor,4,True,Strategy.RANDOM
eclat,4,True,Strategy.RANDOM
waist,4,True,Strategy.RANDOM
kneed,4,True,Strategy.RANDOM
jetty,4,True,Strategy.RANDOM
fussy,4,True,Strategy.RANDOM
guilt,3,True,Strategy.RANDOM
recut,3,True,Strategy.RANDOM
elect,3,True,Strategy.RANDOM
noose,2,True,Strategy.RANDOM
rural,4,True,Strategy.RANDOM
pudgy,4,True,Strategy.RANDOM
deuce,4,True,Strategy.RANDOM
spurn,3,True,Strategy.RANDOM
husky,4,True,Strategy.RANDOM
bison,4,True,Strategy.RANDOM
cruel,2,True,Strategy.RANDOM
nutty,3,True,Strategy.RANDOM
slunk,3,True,Strategy.RANDOM
mangy,3,True,Strategy.RANDOM
torus,3,True,Strategy.RANDOM
lymph,3,True,Strategy.RANDOM
shoot,3,True,Strategy.RANDOM
liege,4,True,Strategy.RANDOM
fleet,4,True,Strategy.RANDOM
swoop,2,True,Strategy.RANDOM
freak,4,True,Strategy.RANDOM
outgo,4,True,Strategy.RANDOM
chuck,5,True,Strategy.RANDOM
dairy,2,True,Strategy.RANDOM
tabby,3,True,Strategy.RANDOM
allot,5,True,Strategy.RANDOM
axion,3,True,Strategy.RANDOM
viper,6,True,Strategy.RANDOM
surge,4,True,Strategy.RANDOM
bleat,4,True,Strategy.RANDOM
dunce,3,True,Strategy.RANDOM
mogul,4,True,Strategy.RANDOM
rinse,3,True,Strategy.RANDOM
scoop,3,True,Strategy.RANDOM
timid,4,True,Strategy.RANDOM
sniff,3,True,Strategy.RANDOM
daily,5,True,Strategy.RANDOM
chaff,4,True,Strategy.RANDOM
vocal,2,True,Strategy.RANDOM
among,3,True,Strategy.RANDOM
flaky,3,True,Strategy.RANDOM
slant,3,True,Strategy.RANDOM
cabal,3,True,Strategy.RANDOM
muddy,4,True,Strategy.RANDOM
cleat,3,True,Strategy.RANDOM
gloss,2,True,Strategy.RANDOM
fecal,2,True,Strategy.RANDOM
trial,3,True,Strategy.RANDOM
visit,3,True,Strategy.RANDOM
allay,4,True,Strategy.RANDOM
sepia,2,True,Strategy.RANDOM
legal,3,True,Strategy.RANDOM
purse,2,True,Strategy.RANDOM
rigor,3,True,Strategy.RANDOM
wharf,4,True,Strategy.RANDOM
swami,3,True,Strategy.RANDOM
align,3,True,Strategy.RANDOM
cubic,4,True,Strategy.RANDOM
wrack,4,True,Strategy.RANDOM
cavil,2,True,Strategy.RANDOM
fluke,2,True,Strategy.RANDOM
tweet,3,True,Strategy.RANDOM
shirt,3,True,Strategy.RANDOM
winch,4,True,Strategy.RANDOM
wryly,2,True,Strategy.RANDOM
sinew,3,True,Strategy.RANDOM
ovoid,4,True,Strategy.RANDOM
baron,3,True,Strategy.RANDOM
shook,3,True,Strategy.RANDOM
thong,4,True,Strategy.RANDOM
gourd,4,True,Strategy.RANDOM
alloy,3,True,Strategy.RANDOM
slush,2,True,Strategy.RANDOM
aider,3,True,Strategy.RANDOM
ovine,3,True,Strategy.RANDOM
dense,2,True,Strategy.RANDOM
pecan,4,True,Strategy.RANDOM
mammy,5,True,Strategy.RANDOM
gassy,3,True,Strategy.RANDOM
wimpy,3,True,Strategy.RANDOM
beech,2,True,Strategy.RANDOM
payer,2,True,Strategy.RANDOM
snore,3,True,Strategy.RANDOM
macro,4,True,Strategy.RANDOM
mower,3,True,Strategy.RANDOM
toddy,4,True,Strategy.RANDOM
saner,3,True,Strategy.RANDOM
dealt,3,True,Strategy.RANDOM
berry,5,True,Strategy.RANDOM
cliff,4,True,Strategy.RANDOM
hasty,4,True,Strategy.RANDOM
bloat,3,True,Strategy.RANDOM
puffy,5,True,Strategy.RANDOM
quell,2,True,Strategy.RANDOM
humus,4,True,Strategy.RANDOM
loath,5,True,Strategy.RANDOM
shale,3,True,Strategy.RANDOM
copse,3,True,Strategy.RANDOM
teddy,4,True,Strategy.RANDOM
pushy,3,True,Strategy.RANDOM
quack,4,True,Strategy.RANDOM
graze,6,True,Strategy.RANDOM
rehab,3,True,Strategy.RANDOM
juicy,3,True,Strategy.RANDOM
roost,5,True,Strategy.RANDOM
seize,3,True,Strategy.RANDOM
vista,5,True,Strategy.RANDOM
erect,4,True,Strategy.RANDOM
drunk,4,True,Strategy.RANDOM
screw,3,True,Strategy.RANDOM
aping,4,True,Strategy.RANDOM
adorn,4,True,Strategy.RANDOM
fatty,4,True,Strategy.RANDOM
decor,3,True,Strategy.RANDOM
crude,4,True,Strategy.RANDOM
ombre,3,True,Strategy.RANDOM
hydro,4,True,Strategy.RANDOM
burst,3,True,Strategy.RANDOM
sigma,3,True,Strategy.RANDOM
white,3,True,Strategy.RANDOM
avoid,3,True,Strategy.RANDOM
cycle,4,True,Strategy.RANDOM
theft,4,True,Strategy.RANDOM
synod,4,True,Strategy.RANDOM
cabby,3,True,Strategy.RANDOM
truce,4,True,Strategy.RANDOM
tamer,3,True,Strategy.RANDOM
aunty,4,True,Strategy.RANDOM
snuff,3,True,Strategy.RANDOM
clout,3,True,Strategy.RANDOM
pagan,3,True,Strategy.RANDOM
godly,4,True,Strategy.RANDOM
opium,4,True,Strategy.RANDOM
shack,5,True,Strategy.RANDOM
chess,3,True,Strategy.RANDOM
brawl,3,True,Strategy.RANDOM
cobra,3,True,Strategy.RANDOM
covey,3,True,Strategy.RANDOM
taker,6,True,Strategy.RANDOM
booth,4,True,Strategy.RANDOM
eight,3,True,Strategy.RANDOM
stalk,3,True,Strategy.RANDOM
buxom,4,True,Strategy.RANDOM
skull,3,True,Strategy.RANDOM
slain,3,True,Strategy.RANDOM
augur,3,True,Strategy.RANDOM
fudge,3,True,Strategy.RANDOM
plush,3,True,Strategy.RANDOM
shock,2,True,Strategy.RANDOM
stave,4,True,Strategy.RANDOM
dusty,5,True,Strategy.RANDOM
sadly,4,True,Strategy.RANDOM
remit,3,True,Strategy.RANDOM
sumac,3,True,Strategy.RANDOM
gazer,4,True,Strategy.RANDOM
arise,5,True,Strategy.RANDOM
abled,3,True,Strategy.RANDOM
billy,6,True,Strategy.RANDOM
login,4,True,Strategy.RANDOM
emcee,5,True,Strategy.RANDOM
pooch,4,True,Strategy.RANDOM
