target,guess_count,memory,strategy
basil,2,True,Strategy.ENTROPIC
eying,4,True,Strategy.ENTROPIC
clink,4,True,Strategy.ENTROPIC
twixt,4,True,Strategy.ENTROPIC
posse,3,True,Strategy.ENTROPIC
setup,2,True,Strategy.ENTROPIC
safer,2,True,Strategy.ENTROPIC
curry,4,True,Strategy.ENTROPIC
squib,3,True,Strategy.ENTROPIC
fella,4,True,Strategy.ENTROPIC
mecca,3,True,Strategy.ENTROPIC
biddy,3,True,Strategy.ENTROPIC
butch,3,True,Strategy.ENTROPIC
clamp,4,True,Strategy.ENTROPIC
arena,2,True,Strategy.ENTROPIC
owing,4,True,Strategy.ENTROPIC
murky,4,True,Strategy.ENTROPIC
churn,3,True,Strategy.ENTROPIC
guess,4,True,Strategy.ENTROPIC
refit,3,True,Strategy.ENTROPIC
gipsy,2,True,Strategy.ENTROPIC
tubal,3,True,Strategy.ENTROPIC
gravy,3,True,Strategy.ENTROPIC
venue,4,True,Strategy.ENTROPIC
armor,2,True,Strategy.ENTROPIC
amity,3,True,Strategy.ENTROPIC
wring,4,True,Strategy.ENTROPIC
sheep,3,True,Strategy.ENTROPIC
vowel,4,True,Strategy.ENTROPIC
pence,4,True,Strategy.ENTROPIC
loamy,3,True,Strategy.ENTROPIC
brick,2,True,Strategy.ENTROPIC
embed,3,True,Strategy.ENTROPIC
guise,2,True,Strategy.ENTROPIC
bylaw,3,True,Strategy.ENTROPIC
plier,3,True,Strategy.ENTROPIC
wight,5,True,Strategy.ENTROPIC
anime,2,True,Strategy.ENTROPIC
demur,3,True,Strategy.ENTROPIC
dilly,3,True,Strategy.ENTROPIC
stoop,5,True,Strategy.ENTROPIC
slash,4,True,Strategy.ENTROPIC
diode,4,True,Strategy.ENTROPIC
fleck,3,True,Strategy.ENTROPIC
scaly,2,True,Strategy.ENTROPIC
steal,3,True,Strategy.ENTROPIC
glint,2,True,Strategy.ENTROPIC
pansy,3,True,Strategy.ENTROPIC
budge,3,True,Strategy.ENTROPIC
bitty,5,True,Strategy.ENTROPIC
sauce,3,True,Strategy.ENTROPIC
joist,3,True,Strategy.ENTROPIC
nobly,4,True,Strategy.ENTROPIC
plead,4,True,Strategy.ENTROPIC
risky,2,True,Strategy.ENTROPIC
crier,3,True,Strategy.ENTROPIC
randy,4,True,Strategy.ENTROPIC
tumor,3,True,Strategy.ENTROPIC
shrew,2,True,Strategy.ENTROPIC
wider,4,True,Strategy.ENTROPIC
notch,4,True,Strategy.ENTROPIC
dizzy,3,True,Strategy.ENTROPIC
attic,3,True,Strategy.ENTROPIC
unset,3,True,Strategy.ENTROPIC
motif,3,True,Strategy.ENTROPIC
testy,4,True,Strategy.ENTROPIC
wispy,3,True,Strategy.ENTROPIC
fugue,4,True,Strategy.ENTROPIC
caste,3,True,Strategy.ENTROPIC
steer,4,True,Strategy.ENTROPIC
crony,3,True,Strategy.ENTROPIC
fraud,3,True,Strategy.ENTROPIC
arson,2,True,Strategy.ENTROPIC
minor,3,True,Strategy.ENTROPIC
swarm,4,True,Strategy.ENTROPIC
pulse,3,True,Strategy.ENTROPIC
rotor,5,True,Strategy.ENTROPIC
wiser,3,True,Strategy.ENTROPIC
welch,3,True,Strategy.ENTROPIC
honor,3,True,Strategy.ENTROPIC
bigot,3,True,Strategy.ENTROPIC
dusky,3,True,Strategy.ENTROPIC
deign,2,True,Strategy.ENTROPIC
tonal,3,True,Strategy.ENTROPIC
salvo,4,True,Strategy.ENTROPIC
annul,3,True,Strategy.ENTROPIC
tried,4,True,Strategy.ENTROPIC
eater,3,True,Strategy.ENTROPIC
abode,3,True,Strategy.ENTROPIC
snide,3,True,Strategy.ENTROPIC
enemy,3,True,Strategy.ENTROPIC
eking,2,True,Strategy.ENTROPIC
radii,3,True,Strategy.ENTROPIC
stoke,4,True,Strategy.ENTROPIC
scary,3,True,Strategy.ENTROPIC
swing,4,True,Strategy.ENTROPIC
bloom,3,True,Strategy.ENTROPIC
swamp,3,True,Strategy.ENTROPIC
abbot,3,True,Strategy.ENTROPIC
shark,3,True,Strategy.ENTROPIC
dryly,3,True,Strategy.ENTROPIC
clump,3,True,Strategy.ENTROPIC
betel,3,True,Strategy.ENTROPIC
penal,3,True,Strategy.ENTROPIC
chump,3,True,Strategy.ENTROPIC
shiny,3,True,Strategy.ENTROPIC
curvy,3,True,Strategy.ENTROPIC
blast,3,True,Strategy.ENTROPIC
grill,4,True,Strategy.ENTROPIC
paler,4,True,Strategy.ENTROPIC
spilt,3,True,Strategy.ENTROPIC
pizza,3,True,Strategy.ENTROPIC
scalp,2,True,Strategy.ENTROPIC
broil,3,True,Strategy.ENTROPIC
queer,4,True,Strategy.ENTROPIC
tying,3,True,Strategy.ENTROPIC
roger,4,True,Strategy.ENTROPIC
fizzy,4,True,Strategy.ENTROPIC
swept,3,True,Strategy.ENTROPIC
cacti,3,True,Strategy.ENTROPIC
scene,3,True,Strategy.ENTROPIC
afoot,3,True,Strategy.ENTROPIC
silky,4,True,Strategy.ENTROPIC
sappy,4,True,Strategy.ENTROPIC
array,2,True,Strategy.ENTROPIC
rearm,3,True,Strategy.ENTROPIC
iliac,3,True,Strategy.ENTROPIC
basis,3,True,Strategy.ENTROPIC
fetal,3,True,Strategy.ENTROPIC
eerie,3,True,Strategy.ENTROPIC
vapor,4,True,Strategy.ENTROPIC
eclat,4,True,Strategy.ENTROPIC
waist,2,True,Strategy.ENTROPIC
kneed,4,True,Strategy.ENTROPIC
jetty,3,True,Strategy.ENTROPIC
fussy,3,True,Strategy.ENTROPIC
guilt,2,True,Strategy.ENTROPIC
recut,3,True,Strategy.ENTROPIC
elect,3,True,Strategy.ENTROPIC
noose,4,True,Strategy.ENTROPIC
rural,3,True,Strategy.ENTROPIC
pudgy,3,True,Strategy.ENTROPIC
deuce,4,True,Strategy.ENTROPIC
spurn,4,True,Strategy.ENTROPIC
husky,2,True,Strategy.ENTROPIC
bison,3,True,Strategy.ENTROPIC
cruel,2,True,Strategy.ENTROPIC
nutty,3,True,Strategy.ENTROPIC
slunk,2,True,Strategy.ENTROPIC
mangy,3,True,Strategy.ENTROPIC
torus,2,True,Strategy.ENTROPIC
lymph,3,True,Strategy.ENTROPIC
shoot,4,True,Strategy.ENTROPIC
liege,4,True,Strategy.ENTROPIC
fleet,3,True,Strategy.ENTROPIC
swoop,5,True,Strategy.ENTROPIC
freak,2,True,Strategy.ENTROPIC
outgo,3,True,Strategy.ENTROPIC
chuck,3,True,Strategy.ENTROPIC
dairy,3,True,Strategy.ENTROPIC
tabby,4,True,Strategy.ENTROPIC
allot,3,True,Strategy.ENTROPIC
axion,3,True,Strategy.ENTROPIC
viper,2,True,Strategy.ENTROPIC
surge,3,True,Strategy.ENTROPIC
bleat,3,True,Strategy.ENTROPIC
dunce,3,True,Strategy.ENTROPIC
mogul,3,True,Strategy.ENTROPIC
rinse,2,True,Strategy.ENTROPIC
scoop,4,True,Strategy.ENTROPIC
timid,4,True,Strategy.ENTROPIC
sniff,4,True,Strategy.ENTROPIC
daily,2,True,Strategy.ENTROPIC
chaff,4,True,Strategy.ENTROPIC
